ID	Species	R or P	Reaction Name	Mass
8_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
8_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
8_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
8_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
8_0	CO	1	Cannizarro 2, HCHO (oxidation)	32.026214748
8_1	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
8_1	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
8_1	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
8_1	C(O)=O	1	Cannizarro 2, HCHO (reduction)	46.005479304
8_1	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
10_0	N	-1	Alkyne Addition, N, HH	17.026549101
10_0	C#C	-1	Alkyne Addition, N, HH	26.015650064
10_0	C=CN	1	Alkyne Addition, N, HH	43.042199165
12_0	C#N	-1	Alkyne Addition, C	27.010899037
12_0	C#C	-1	Alkyne Addition, C	26.015650064
12_0	C(C=C)#N	1	Alkyne Addition, C	53.026549101
14_0	C#N	-1	Nitrile Amination	27.010899037
14_0	N	-1	Nitrile Amination	17.026549101
14_0	C(N)=N	1	Nitrile Amination	44.037448138
16_0	C#N	-1	HCN Addition to Nitriles	27.010899037
16_0	C#N	-1	HCN Addition to Nitriles	27.010899037
16_0	C(C=N)#N	1	HCN Addition to Nitriles	54.021798074
18_0	C#N	-1	Alkene Addition, CN	27.010899037
18_0	C=CC	-1	Alkene Addition, CN	42.046950192
18_0	C(C(C)C)#N	1	Alkene Addition, CN	69.057849229
20_0	C#N	-1	Alkene Addition, CN	27.010899037
20_0	C=CC	-1	Alkene Addition, CN	42.046950192
20_0	C(CCC)#N	1	Alkene Addition, CN	69.057849229
22_0	O	-1	Hydration of C=C(O)	18.010564684
22_0	C=CC	-1	Hydration of C=C(O)	42.046950192
22_0	CC(C)O	1	Hydration of C=C(O)	60.057514876
24_0	O	-1	Hydration of C=C(O)	18.010564684
24_0	C=CC	-1	Hydration of C=C(O)	42.046950192
24_0	CCCO	1	Hydration of C=C(O)	60.057514876
26_0	N	-1	Deamination 3 (inverse)	17.026549101
26_0	C=CC	-1	Deamination 3 (inverse)	42.046950192
26_0	CC(C)N	1	Deamination 3 (inverse)	59.073499293
28_0	N	-1	Deamination 3 (inverse)	17.026549101
28_0	C=CC	-1	Deamination 3 (inverse)	42.046950192
28_0	CCCN	1	Deamination 3 (inverse)	59.073499293
30_0	C=O	-1	Cyanohydrin Formation	30.010564684
30_0	C#N	-1	Cyanohydrin Formation	27.010899037
30_0	C(CO)#N	1	Cyanohydrin Formation	57.021463721
30_1	C=O	-1	Strecker Synthesis Part 1	30.010564684
30_1	C#N	-1	Strecker Synthesis Part 1	27.010899037
