Source	Target	Reaction Name	Mass

C=O	8_0	Cannizarro 2, HCHO (oxidation)	30.010564684
C=O	8_0	Cannizarro 2, HCHO (oxidation)	30.010564684
O	8_0	Cannizarro 2, HCHO (oxidation)	18.010564684
8_0	C(O)=O	Cannizarro 2, HCHO (oxidation)	46.005479304
8_0	CO	Cannizarro 2, HCHO (oxidation)	32.026214748
C=O	8_1	Cannizarro 2, HCHO (reduction)	30.010564684
C=O	8_1	Cannizarro 2, HCHO (reduction)	30.010564684
O	8_1	Cannizarro 2, HCHO (reduction)	18.010564684
8_1	C(O)=O	Cannizarro 2, HCHO (reduction)	46.005479304
8_1	CO	Cannizarro 2, HCHO (reduction)	32.026214748
N	10_0	Alkyne Addition, N, HH	17.026549101
C#C	10_0	Alkyne Addition, N, HH	26.015650064
10_0	C=CN	Alkyne Addition, N, HH	43.042199165
C#N	12_0	Alkyne Addition, C	27.010899037
C#C	12_0	Alkyne Addition, C	26.015650064
12_0	C(C=C)#N	Alkyne Addition, C	53.026549101
C#N	14_0	Nitrile Amination	27.010899037
N	14_0	Nitrile Amination	17.026549101
14_0	C(N)=N	Nitrile Amination	44.037448138
C#N	16_0	HCN Addition to Nitriles	27.010899037
C#N	16_0	HCN Addition to Nitriles	27.010899037
16_0	C(C=N)#N	HCN Addition to Nitriles	54.021798074
C#N	18_0	Alkene Addition, CN	27.010899037
C=CC	18_0	Alkene Addition, CN	42.046950192
18_0	C(C(C)C)#N	Alkene Addition, CN	69.057849229
C#N	20_0	Alkene Addition, CN	27.010899037
C=CC	20_0	Alkene Addition, CN	42.046950192
20_0	C(CCC)#N	Alkene Addition, CN	69.057849229
O	22_0	Hydration of C=C(O)	18.010564684
C=CC	22_0	Hydration of C=C(O)	42.046950192
22_0	CC(C)O	Hydration of C=C(O)	60.057514876
O	24_0	Hydration of C=C(O)	18.010564684
C=CC	24_0	Hydration of C=C(O)	42.046950192
24_0	CCCO	Hydration of C=C(O)	60.057514876
N	26_0	Deamination 3 (inverse)	17.026549101
C=CC	26_0	Deamination 3 (inverse)	42.046950192
26_0	CC(C)N	Deamination 3 (inverse)	59.073499293
N	28_0	Deamination 3 (inverse)	17.026549101
C=CC	28_0	Deamination 3 (inverse)	42.046950192
28_0	CCCN	Deamination 3 (inverse)	59.073499293
C=O	30_0	Cyanohydrin Formation	30.010564684
C#N	30_0	Cyanohydrin Formation	27.010899037
30_0	C(CO)#N	Cyanohydrin Formation	57.021463721
C=O	30_1	Strecker Synthesis Part 1	30.010564684
C#N	30_1	Strecker Synthesis Part 1	27.010899037
30_1	C(CO)#N	Strecker Synthesis Part 1	57.021463721
O	32_0	Nitrile Hydrolysis	18.010564684
C#N	32_0	Nitrile Hydrolysis	27.010899037
32_0	C(N)=O	Nitrile Hydrolysis	45.021463721
C#C	34_0	Alkyne Addition, N, HC	26.015650064
C=CN	34_0	Alkyne Addition, N, HC	43.042199165
34_0	C=CNC=C	Alkyne Addition, N, HC	69.057849229
C#C	36_0	Alkyne Addition, N, HC	26.015650064
C(N)=N	36_0	Alkyne Addition, N, HC	44.037448138
36_0	C(NC=C)=N	Alkyne Addition, N, HC	70.053098202
C#C	38_0	Alkyne Addition, N, HC	26.015650064
CC(C)N	38_0	Alkyne Addition, N, HC	59.073499293
38_0	C=CNC(C)C	Alkyne Addition, N, HC	85.089149357
C#C	40_0	Alkyne Addition, N, HC	26.015650064
CCCN	40_0	Alkyne Addition, N, HC	59.073499293
40_0	C=CNCCC	Alkyne Addition, N, HC	85.089149357
C=O	42_0	Knoevenagel H	30.010564684
C(CO)#N	42_0	Knoevenagel H	57.021463721
42_0	C(C(CO)O)#N	Knoevenagel H	87.032028405
C=CN	43_0	Alkyne Addition, N, HH, inverse	43.042199165
43_0	N	Alkyne Addition, N, HH, inverse	17.026549101
43_0	C#C	Alkyne Addition, N, HH, inverse	26.015650064
C(C=C)#N	44_0	Alkyne Addition, C, inverse	53.026549101
44_0	C#N	Alkyne Addition, C, inverse	27.010899037
44_0	C#C	Alkyne Addition, C, inverse	26.015650064
C=CN	46_0	Nitrile Amination	43.042199165
C(C=C)#N	46_0	Nitrile Amination	53.026549101
46_0	C=CNC(C=C)=N	Nitrile Amination	96.068748266
C=CN	48_0	Nitrile Amination	43.042199165
C(C=N)#N	48_0	Nitrile Amination	54.021798074
48_0	C=CNC(C=N)=N	Nitrile Amination	97.063997239
C#N	49_0	Nitrile Amination	27.010899037
C=CN	49_0	Nitrile Amination	43.042199165
49_0	C(NC=C)=N	Nitrile Amination	70.053098202
C(C=C)#N	51_0	Nitrile Amination	53.026549101
C(N)=N	51_0	Nitrile Amination	44.037448138
51_0	C(NC(C=C)=N)=N	Nitrile Amination	97.063997239
C(C=C)#N	53_0	Nitrile Amination	53.026549101
C(N)=O	53_0	Nitrile Amination	45.021463721
53_0	C(NC(C=C)=N)=O	Nitrile Amination	98.048012822
N	55_0	Nitrile Amination	17.026549101
C(C=C)#N	55_0	Nitrile Amination	53.026549101
55_0	C=CC(N)=N	Nitrile Amination	70.053098202
C(N)=N	57_0	Nitrile Amination	44.037448138
C(C=N)#N	57_0	Nitrile Amination	54.021798074
57_0	C(NC(C=N)=N)=N	Nitrile Amination	98.059246212
C#N	59_0	Nitrile Amination	27.010899037
C(N)=N	59_0	Nitrile Amination	44.037448138
59_0	C(NC=N)=N	Nitrile Amination	71.048347175
C(C=N)#N	61_0	Nitrile Amination	54.021798074
C(N)=O	61_0	Nitrile Amination	45.021463721
61_0	C(NC(C=N)=N)=O	Nitrile Amination	99.043261795
N	63_0	Nitrile Amination	17.026549101
C(C=N)#N	63_0	Nitrile Amination	54.021798074
63_0	C(C(N)=N)=N	Nitrile Amination	71.048347175
N	65_0	Nitrile Amination	17.026549101
C(C(C)C)#N	65_0	Nitrile Amination	69.057849229
65_0	C(C(C)C)(N)=N	Nitrile Amination	86.08439833
N	67_0	Nitrile Amination	17.026549101
C(CCC)#N	67_0	Nitrile Amination	69.057849229
67_0	C(CCC)(N)=N	Nitrile Amination	86.08439833
C#N	69_0	Nitrile Amination	27.010899037
CC(C)N	69_0	Nitrile Amination	59.073499293
69_0	C(NC(C)C)=N	Nitrile Amination	86.08439833
C#N	71_0	Nitrile Amination	27.010899037
CCCN	71_0	Nitrile Amination	59.073499293
71_0	C(NCCC)=N	Nitrile Amination	86.08439833
N	73_0	Nitrile Amination	17.026549101
C(CO)#N	73_0	Nitrile Amination	57.021463721
73_0	C(CO)(N)=N	Nitrile Amination	74.048012822
C#N	75_0	Nitrile Amination	27.010899037
C(N)=O	75_0	Nitrile Amination	45.021463721
75_0	C(NC=N)=O	Nitrile Amination	72.032362758
C#N	77_0	CN addition to iminonitriles	27.010899037
C(C=N)#N	77_0	CN addition to iminonitriles	54.021798074
77_0	C(C(C#N)N)#N	CN addition to iminonitriles	81.032697111
O	78_0	Amide Hydrolysis	18.010564684
C(N)=O	78_0	Amide Hydrolysis	45.021463721
78_0	N	Amide Hydrolysis	17.026549101
78_0	C(O)=O	Amide Hydrolysis	46.005479304
C#N	80_0	Alkene Addition, CN	27.010899037
C=CN	80_0	Alkene Addition, CN	43.042199165
80_0	C(C(C)N)#N	Alkene Addition, CN	70.053098202
C#N	82_0	Alkene Addition, CN	27.010899037
C=CN	82_0	Alkene Addition, CN	43.042199165
82_0	C(CCN)#N	Alkene Addition, CN	70.053098202
C#N	84_0	Alkene Addition, CN	27.010899037
C(C=C)#N	84_0	Alkene Addition, CN	53.026549101
84_0	C(C(C#N)C)#N	Alkene Addition, CN	80.037448138
C#N	86_0	Alkene Addition, CN	27.010899037
C(C=C)#N	86_0	Alkene Addition, CN	53.026549101
86_0	C(CCC#N)#N	Alkene Addition, CN	80.037448138
CC(C)O	87_0	Elimination2	60.057514876
87_0	O	Elimination2	18.010564684
87_0	C=CC	Elimination2	42.046950192
CCCO	88_0	Elimination2	60.057514876
88_0	O	Elimination2	18.010564684
88_0	C=CC	Elimination2	42.046950192
O	90_0	Deydration of Amines (inverse)	18.010564684
C=CN	90_0	Deydration of Amines (inverse)	43.042199165
90_0	C(CN)O	Deydration of Amines (inverse)	61.052763849
O	90_1	Hydration of C=C(O)	18.010564684
C=CN	90_1	Hydration of C=C(O)	43.042199165
90_1	C(CN)O	Hydration of C=C(O)	61.052763849
O	92_0	Hydration of C=C(O)	18.010564684
C(C=C)#N	92_0	Hydration of C=C(O)	53.026549101
92_0	C(C(C)O)#N	Hydration of C=C(O)	71.037113785
O	94_0	Hydration of C=C(O)	18.010564684
C(C=C)#N	94_0	Hydration of C=C(O)	53.026549101
94_0	C(CCO)#N	Hydration of C=C(O)	71.037113785
O	96_0	Enamine Hydration and Elimination	18.010564684
C=CN	96_0	Enamine Hydration and Elimination	43.042199165
96_0	N	Enamine Hydration and Elimination	17.026549101
96_0	C(C)=O	Enamine Hydration and Elimination	44.026214748
C=CN	98_0	Deamination of Vicinal Diamine, (inverse)	43.042199165
C=CN	98_0	Deamination of Vicinal Diamine, (inverse)	43.042199165
98_0	C(NCCN)=C	Deamination of Vicinal Diamine, (inverse)	86.08439833
N	100_0	Deamination of Vicinal Diamine, (inverse)	17.026549101
C=CN	100_0	Deamination of Vicinal Diamine, (inverse)	43.042199165
100_0	C(CN)N	Deamination of Vicinal Diamine, (inverse)	60.068748266
CC(C)N	101_0	Deamination 3	59.073499293
101_0	N	Deamination 3	17.026549101
101_0	C=CC	Deamination 3	42.046950192
CCCN	102_0	Deamination 3	59.073499293
102_0	N	Deamination 3	17.026549101
102_0	C=CC	Deamination 3	42.046950192
C=CN	104_0	Deamination 3 (inverse)	43.042199165
C(C=C)#N	104_0	Deamination 3 (inverse)	53.026549101
104_0	C(C(C)NC=C)#N	Deamination 3 (inverse)	96.068748266
C=CN	106_0	Deamination 3 (inverse)	43.042199165
C(C=C)#N	106_0	Deamination 3 (inverse)	53.026549101
106_0	C(CCNC=C)#N	Deamination 3 (inverse)	96.068748266
C=CN	106_1	Michael Addition 2,0, 	43.042199165
C(C=C)#N	106_1	Michael Addition 2,0, 	53.026549101
106_1	C(CCNC=C)#N	Michael Addition 2,0, 	96.068748266
C=CC	107_0	Deamination 3 (inverse)	42.046950192
C=CN	107_0	Deamination 3 (inverse)	43.042199165
107_0	C=CNC(C)C	Deamination 3 (inverse)	85.089149357
C=CC	108_0	Deamination 3 (inverse)	42.046950192
C=CN	108_0	Deamination 3 (inverse)	43.042199165
108_0	C=CNCCC	Deamination 3 (inverse)	85.089149357
N	109_0	Deamination 3 (inverse)	17.026549101
C(C=C)#N	109_0	Deamination 3 (inverse)	53.026549101
109_0	C(C(C)N)#N	Deamination 3 (inverse)	70.053098202
N	110_0	Deamination 3 (inverse)	17.026549101
C(C=C)#N	110_0	Deamination 3 (inverse)	53.026549101
110_0	C(CCN)#N	Deamination 3 (inverse)	70.053098202
N	110_1	Michael Addition 2,0, 	17.026549101
C(C=C)#N	110_1	Michael Addition 2,0, 	53.026549101
110_1	C(CCN)#N	Michael Addition 2,0, 	70.053098202
O	111_0	Imine to Carbonyl	18.010564684
C(N)=N	111_0	Imine to Carbonyl	44.037448138
111_0	N	Imine to Carbonyl	17.026549101
111_0	C(N)=O	Imine to Carbonyl	45.021463721
O	111_1	Amidine to Amide Hydrolysis	18.010564684
C(N)=N	111_1	Amidine to Amide Hydrolysis	44.037448138
111_1	N	Amidine to Amide Hydrolysis	17.026549101
111_1	C(N)=O	Amidine to Amide Hydrolysis	45.021463721
O	113_0	Imine to Carbonyl	18.010564684
C(C=N)#N	113_0	Imine to Carbonyl	54.021798074
113_0	N	Imine to Carbonyl	17.026549101
113_0	C(C=O)#N	Imine to Carbonyl	55.005813657000004
O	115_0	Nitrile Hydrolysis	18.010564684
C(C=C)#N	115_0	Nitrile Hydrolysis	53.026549101
115_0	C=CC(N)=O	Nitrile Hydrolysis	71.037113785
O	117_0	Nitrile Hydrolysis	18.010564684
C(C=N)#N	117_0	Nitrile Hydrolysis	54.021798074
117_0	C(C=N)(N)=O	Nitrile Hydrolysis	72.03236275799999
O	119_0	Nitrile Hydrolysis	18.010564684
C(C(C)C)#N	119_0	Nitrile Hydrolysis	69.057849229
119_0	C(C(C)C)(N)=O	Nitrile Hydrolysis	87.068413913
O	121_0	Nitrile Hydrolysis	18.010564684
C(CCC)#N	121_0	Nitrile Hydrolysis	69.057849229
121_0	C(CCC)(N)=O	Nitrile Hydrolysis	87.068413913
O	123_0	Nitrile Hydrolysis	18.010564684
C(CO)#N	123_0	Nitrile Hydrolysis	57.021463721
123_0	C(CO)(N)=O	Nitrile Hydrolysis	75.03202840499999
C(C=C)#N	125_0	Michael Addition 2,0, 	53.026549101
C(N)=N	125_0	Michael Addition 2,0, 	44.037448138
125_0	C(CCNC=N)#N	Michael Addition 2,0, 	97.063997239
CO	127_0	Michael Addition 2,2, 	32.026214748
C(C=C)#N	127_0	Michael Addition 2,2, 	53.026549101
127_0	C(CCCO)#N	Michael Addition 2,2, 	85.052763849
