ID	Type
C(CC(O)=O)#CC	1
C(NC#CN)#C	1
C#CNCC(C)O	1
C#CC(C=O)(C)N	1
C=C(C(O)=O)C	1
C(C(C#N)C=O)#N	1
C#CC=C(C)NC	1
C(NC)=CCN	1
C(C(C=N)=O)=O	1
CC(CCN)N	1
C1(CC=CN=1)N	1
C1C(CN)NCN=1	1
C1C2CCC(C2)N1	1
C(C(C)=NCN)#N	1
C=CNCC=C	1
C(N1CCCC1)=N	1
C(CC)#CNC=O	1
C(N)#CCCNC	1
C(C)(CC=CN)=O	1
C(NC=CC=N)=N	1
C#CC(C(N)=N)=C	1
C(C1C=NCN1)#N	1
C#CC(CN)N	1
C1C(C=CN=1)(C)N	1
C1NC(C(C=1)=O)=O	1
C(C)(N)=CC(N)=N	1
C(CC)#CC(N)=O	1
C#CN(C)C	1
C(C(N)N)#CC=O	1
C1NC=CN=1	1
C(C(C#C)O)#N	1
C1NC=CC(N=1)O	1
CNCCCO	1
C=C1CC=CC1	1
C(NC=O)#CC#N	1
C(C(C#C)=CN)#N	1
C(C(C=C)C)(N)=N	1
C(C)(C)=CC(C)=O	1
C1C(N=C(C#1)O)=O	1
C(NCCN)=O	1
C1N=CC(C#1)N	1
C(CCCC=C)=O	1
C#CC(CO)CC	1
C(O)#CN(C)CC	1
C1N(C=CC=1)C	1
C(CCO)#CNC	1
C1(C=C(C=N1)N)=O	1
C1C=CN(C#1)C=C	1
C(NC(N)=C)#CN	1
C(CCC#CN)#N	1
C=C1NC=CN1	1
C(NC(C)C)O	1
C=CC(CO)=CN	1
C(NC(CN)N)#C	1
C1CCC(C)NC=1	1
C(C(CC=C)N)=O	1
C=C(C)CCNC	1
C#CC(CO)NC	1
C(CO)#CNCC	1
C=CCCNC=C	1
C1N(C=N)C=CN=1	1
C(C(CN)O)=O	1
C(C(CC)=C)#N	1
C(N)=CC(O)=O	1
C#CCC=CN	1
C=CNC(C=O)=O	1
C#CC(CCO)=O	1
C1C(N=C(C#1)O)=C	1
C(N)=CC(CC)=O	1
C(N)=C1CNCC1	1
C#CC(N)NCC	1
C#CN(C#C)CC	1
C#CNC=N	1
C(CCO)=NC	1
C1NC=CC(C=1)O	1
C1CCNC=1	1
C(O)=CC=O	1
C1NC(C(C=1)=O)N	1
C(C)(N)=N	1
CC(CO)CN	1
C(NC(CC)=C)=O	1
C(C(C)NC)=N	1
C#CC(NCN)=N	1
C1(CCC(N1)=C)=O	1
C1C(CCN=1)NC	1
C1(NC(N)=CC=1)O	1
C=CCC(C)N	1
C#CC(C=N)=O	1
C(C(C#CO)C)#N	1
C=C1NCC(C)N1	1
C1CNCC(N=1)N	1
C(N)=CC(N)N	1
C=C(C(CC)=O)C	1
C(N)#CC=CN	1
C=C(C(N)=O)C	1
C(O)#CNC=CO	1
C#CNC#CC	1
C1C(N=CC#1)N	1
C(C(C(C)N)=C)#N	1
C1C(N)NC(C=1)=N	1
C=CC(C(C)N)=O	1
C=C(C)N(C)C	1
C1CC(N=CC=1)N	1
C(O)#CNC=C	1
C(C=CC(N)=C)#N	1
C#CC(CCO)N	1
C(NC=CN)#C	1
C(C=C(C#N)N)#N	1
CCNC(C)C	1
C=C(CO)N	1
C=CCC=C(N)O	1
C(C(C)O)(N)=N	1
C#CCCCC=O	1
C#CC(N)N	1
C#CC(N)=N	1
C(CN=CC=O)=O	1
C#CC(C)=C	1
C(C(C)(CC)O)#N	1
C(C=CNC=N)#N	1
C(C(C=N)CN)#N	1
C(C=CNCC)#N	1
C(C)=CC(C)=O	1
C(O)=CN(C)C	1
C=CC=O	1
C(C(C)NC#C)#N	1
C1CC=CC=1N	1
C(N(C=C)CC)=O	1
C(C(C)CC#N)#N	1
C(O)#CN(C=C)C	1
C(NC(C)=O)=N	1
C1CCN(C=1)CO	1
C(N)=CC=CN	1
C(C(N)=CC=O)=O	1
C(NC=C)=O	1
C=CCCCO	1
C=CC(C(N)=N)=O	1
C1CC=CC=1O	1
C1CC(C(N=1)O)=O	1
C(C(C)CC=O)#N	1
C1CC(C(C=1)=O)C	1
C1C(CCN1)O	1
C(C(C)O)#N	1
C(N)#CCC=C	1
C(N(C(C)=C)C)=N	1
C1CCCN(C=1)C	1
C1C(C(CN=1)=O)O	1
CNCCCN	1
C(N(C)CC=C)=N	1
C=CC(CN)O	1
C(C=CC(C)O)#N	1
CCC(CO)N	1
C(CNC=C)=O	1
C1CC=CC(N=1)O	1
C1NC(N)=CN=1	1
C(NCC)#CN	1
C(C(CC=O)O)#N	1
C(N)#CCCCN	1
C=C(CN)CN	1
C1CNCCN1	1
C(C(C)C)(N)=O	1
C#CCNC	1
C(C(C(C)=O)O)#N	1
C1NCC(N)NC=1	1
C(CCNC=C)=O	1
C(C(C=C)(C)O)#N	1
C#CCC(N)=O	1
C(C(C)C(C)N)#N	1
C#CC(C=O)C=O	1
C(C(CC=O)N)#N	1
C1(C(O)=NCC1)=O	1
C(C=C(C)CC)#N	1
C(NC(C)=O)#CN	1
C1(CN=C(C=1)N)O	1
C1CN=C(C=1C)O	1
C(CC(C)CN)#N	1
C(NC(N)=C)=N	1
C(CC=O)#CC	1
C(CCC(C)C)#N	1
C(O)=O	1
C1CCNC(C=1)=N	1
C(C)#CNCC	1
C1C=CN(C#1)C=N	1
C1NC(O)=C(C=1)O	1
C=CNC(C)=CC	1
C(C=C(CN)N)#N	1
C#CC(CNC)O	1
C1NC(C)=NC#1	1
C1(CC(C)=CN1)=N	1
C1(N)NC(N)=CC=1	1
C#CC(CN)=C	1
C(N1C=CCC1)=N	1
C(CC(N)=CN)#N	1
C(CNC)(O)=O	1
C(CC(O)O)O	1
C(CC=CN)=O	1
C#CC#N	1
C(C(N)O)O	1
C(CCN)N	1
C(C(C)NC)=O	1
C(C(C=C)=CN)#N	1
C#CCCC=O	1
C1NC(C(N=1)O)=C	1
C(N(C)CC)=O	1
C1N(C=CC=1N)C	1
C1C(CC(C=1)O)N	1
C1C=CNC#1	1
C1NC(C(C=1)N)=C	1
C=C1C(NCN1)=N	1
C(C)N1CCCC1	1
C1(CC=C(N)N1)=O	1
C1C(CCC=1C)N	1
C(N)#CCC=O	1
C(C=O)#CNC=O	1
C(C(C=CC)N)=N	1
C(C=O)=O	1
C1NCC(N)N1	1
CC(C)(CO)O	1
C(CCC=C)#N	1
CCCCN	1
C(C(C)N)=CC=O	1
C(C=CNC=O)#N	1
C(C=N)(C(C)N)=O	1
C=C(C)CC	1
C1(CCC=CC1)=O	1
C(NC(N)=C)#CC	1
C1C(CCCN=1)O	1
C(NC=CC=O)=O	1
C1CC(C(C=1)=O)N	1
C(C)(NC(C)=N)=N	1
C=C1C(NCN1)=C	1
C(C(CC=N)N)#N	1
C1CC=CN=1	1
C#CC(N(C)C)=N	1
C(N)(O)=CC	1
C(NC)=CC=O	1
C(O)=CC(N)=O	1
C(C)#CC(NC)=O	1
C(C(C)NC=C)=N	1
C1NC(C)C(N=1)N	1
C(CN)=C(C=O)C	1
C(NC(N)=C)#C	1
C1(C=NCC1N)=O	1
C(C(C#N)=O)#N	1
C1(C(N=CC=1)N)N	1
CC1C(C)CCN1	1
C(NCC=O)#CN	1
C#CN1C=CCC1	1
C=CCNCC	1
C(C(C#N)=CN)#N	1
C#CC(C)C	1
C#CNC(C)=N	1
C1(NC=C(N)N1)=C	1
C1CC=C(N=1)NC	1
C#CNCC=N	1
C#CCCCNC	1
C1CC=CC=1C	1
C(NC(CC)=N)=N	1
C(C)(N(C)C)=N	1
C(CC)#CN	1
C1NCCCC=1N	1
C1CC=CC=1NC	1
C(C(C=C)N)=O	1
C1C(CC(C)N=1)O	1
C=CNC(C=N)=N	1
C(C=CC(N)=O)#N	1
C(CNCC)#N	1
C=CCNC	1
C(CCCC#C)#N	1
C1(C=CC(N)=N1)=O	1
C(C=CCNC)#N	1
C(NC)=CC=CN	1
C(N)=C(CO)O	1
C(CCO)O	1
C=C(C=C)NCO	1
C1C(N=C(C=1)O)N	1
C#CNC=CC=N	1
C1(CC(C)=CN=1)N	1
C1CCCC(C=1)O	1
CC(C)CN	1
C(CC(C=C)N)=O	1
CNC(CN)O	1
C(CC(C)NC)#N	1
C#CC(CCN)O	1
C(NCN)=CC	1
C(C(C(N)O)=C)#N	1
C1NC#CC#1	1
C(NC=CC)=CN	1
C(N(C)CC)=N	1
C(C1CNCN1)#N	1
C(CN)=N	1
C(C1CN=CC=1)#N	1
C#CC(C)=O	1
C#CNC(O)=CC	1
C=C(C=CN)C	1
C(C=N)(CCC)=O	1
C(CC(C=C)=O)=O	1
C(C=O)#CC#N	1
C1(CCNCN=1)N	1
C1NCC(CN=1)=O	1
C(CC(C#N)=O)#N	1
